Orbital Period,Planetary Radius,Transit Duration,Transit Depth,Star’s Effective Temperature (Kelvin),Star’s Radius (in solar radii),Star’s Surface Gravity (log10(cm/s²))
87.6476068,4.0,8.871,1009.6,6035.0,1.257,4.22
9.61731426,1.94,3.8692,234.0,6035.0,1.257,4.22
9.467821474,2.13,2.4327,2237.0,3582.0,0.458,4.807
0.893040969,1.24,1.0981,741.7,3582.0,0.458,4.807
4.942783419,10.62,3.25346,11145.0,5514.0,0.978,4.459
20.83426731,2.74,4.0454,988.4,5537.0,0.88,4.549
9.94602357,3.12,3.3862,994.5,5344.0,1.013,4.365
1.04562195,1.45,1.8955,213.0,5344.0,1.013,4.365
5.71462396,1.78,2.336,297.8,5344.0,1.013,4.365
102.9641952,39.0,15.735,1896.7,5047.0,7.119,3.066
8.14515981,3.43,5.073,446.8,5896.0,1.24,4.197
18.9985279,43.17,4.529,430.7,5896.0,1.24,4.197
4.24439049,2.07,3.282,174.0,5896.0,1.24,4.197
90.1240507,7.12,11.649,3020.3,6520.0,1.215,4.375
28.5742692,2.32,4.9427,824.9,5551.0,0.812,4.508
856.672115,3.87,23.144,858.1,6449.0,1.309,4.232
0.689210173,1.32,1.6169,195.0,5630.0,0.954,4.505
7.34373964,1.84,1.1784,574.4,5757.0,0.762,4.597
0.445277068,35.74,3.539,186.7,6167.0,1.064,4.444
0.379463865,59.56,0.86896,1973.3,5075.0,1.783,3.892
9.88047978,23.6,2.78458,18541.0,6113.0,0.917,4.512
4.6484156,5.06,38.1939,128.4,6980.0,3.482,3.577
17.512014768,13.66,1.8248,4511.7,6224.0,1.132,4.33
3.9886021,34.39,1.7376,673.5,4813.0,13.652,2.472
0.533059312,133.56,1.8621,1495.8,8523.0,4.051,3.559
0.525154153,23.61,2.1441,747.5,5582.0,0.846,4.497
1.303861044,27.85,4.0541,598.2,5758.0,0.902,4.475
0.73452496,,6.7,,,,
2.55549176,23.35,9.083,113.8,5948.0,0.901,4.508
2.947376671,403.59,2.0911,433.2,8090.0,2.234,4.002
224.7789355,7.67,11.1899,3487.5,5873.0,1.235,4.293
0.890110752,1.25,0.8774,321.5,4768.0,0.711,4.628
5.76573396,7.47,2.924,248.0,5772.0,4.434,3.364
7.42608123,2.47,3.6379,443.3,6049.0,1.176,4.353
15.9868932,1.62,4.158,178.5,6049.0,1.176,4.353
0.73094589,17.12,4.32,250.2,5901.0,0.848,4.553
18.92537246,13.92,3.9835,640.9,4941.0,4.885,3.317
